Site,O3_Train_RMSE,O3_Train_MAE,O3_Train_Bias,O3_Train_R2,O3_Val_RMSE,O3_Val_MAE,O3_Val_Bias,O3_Val_R2,O3_Test_RMSE,O3_Test_MAE,O3_Test_Bias,O3_Test_R2,NO2_Train_RMSE,NO2_Train_MAE,NO2_Train_Bias,NO2_Train_R2,NO2_Val_RMSE,NO2_Val_MAE,NO2_Val_Bias,NO2_Val_R2,NO2_Test_RMSE,NO2_Test_MAE,NO2_Test_Bias,NO2_Test_R2
2,2.10306309215165,0.6832949034049367,0.0016249452983131687,0.9961925586160312,1.7249845594832467,0.5855305198344098,0.17396617580431015,0.9873381020849492,5.582138428528847,2.814020944174155,0.12245945768570626,0.9555838873721697,16.451910046708008,12.136769099565162,2.8360405436246237,0.6258885103169096,18.65741048899648,15.526877749061642,14.769116231909843,-0.6077960991483125,16.02524482355457,11.230297241449533,-3.12388302381097,0.31523883727406143
3,7.583549225098436,4.446487738819867,-0.022132618942820904,0.9669600304051298,7.608847280634959,4.4804802826547165,0.2804935854791324,0.954726669183191,7.77457045343051,4.774731205577797,-0.35587034316646204,0.9616269529508641,26.372101539002614,20.56203082126552,5.124957133927644,0.5012355781285615,28.706423048975978,23.239995436048268,18.208608606785273,0.16362414198923836,31.045629430129583,24.421559455980937,6.238320740047657,-0.06091569641496419
4,3.9187598826687,1.8013274073079755,-0.0019558383977850233,0.9884290271510872,4.623239414293705,2.967677343176135,-0.017376353498888886,0.9751656274905615,5.3714475218944555,3.0657132000380036,-0.27840825320865675,0.9781963155780512,13.888330938454613,10.489133842621326,2.541589970401643,0.6387505072859084,19.407978453209637,15.423662581026878,10.839369604944775,0.23080747574214744,15.447424985748402,11.342030142492108,3.7380952129963716,0.32604693253214256
5,6.210241381683066,3.7175553408378015,-0.00177476554078558,0.9617411563140272,5.820607241713024,3.4914473551731633,0.3758166836297276,0.958444725779663,6.241595535678755,3.884738167809458,-0.5204013265358888,0.9658479781427176,18.084696135497595,13.665419087666583,3.0091164290121997,0.6776631703874192,18.996725306048692,13.586453580436693,-5.28316919549202,0.6781528885251792,26.037486759606967,17.853097290179875,-2.8009838321044604,0.6002407725335567
6,5.491467923573678,2.908776971382838,-0.005002765181839868,0.94064292051068,4.611253854068939,2.5728635210260444,0.03689658783065186,0.9456856138160125,12.206548702971778,5.680363877487612,-2.4278320913014513,0.8922221373679871,9.753996256815768,7.096861930123557,1.5969293199806656,0.6667681849794977,9.194301911875817,6.59753436862613,1.1883969636876148,0.6852937368802956,18.896031470090364,12.341137549325383,-7.178151057254037,0.30145890834898426
7,7.5755794703190285,4.859947408031205,0.005931049003631969,0.9625507415032188,5.8711464649652925,3.981852528712537,1.077612702718475,0.9479819236589797,6.912849889916183,4.423131419411269,0.15696203547849572,0.96247856110836,19.754491750616523,15.56716040675797,4.928297582984864,0.40191247740667435,23.835744748059067,21.14796022092843,18.580455658137463,-1.1199787520000815,17.360949312682457,11.244723100022188,-6.362938504792229,0.24101487061303695
